TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2010,4,9,15,34,12XX GRANVILLE ST,Central Business District,501847,5428264
Vehicle Collision or Pedestrian Struck (with Injury),2009,12,2,15,34,8XX TERMINAL AVE,Strathcona,507793,5262279
Break and Enter Residential/Other,2014,7,6,15,33,11XX BARCLAY ST,West End,508734,5349492
Other Theft,2017,4,3,15,33,12XX W PENDER ST,Central Business District,496929,5106685
Vehicle Collision or Pedestrian Struck (with Injury),2014,8,26,15,33,ADANAC ST / WOODLAND DR,Grandview-Woodland,510556,5346954
Break and Enter Commercial,2012,10,14,15,32,10XX BEACH AVE,Central Business District,496219,5296729
Other Theft,2007,10,28,15,32,12XX SW MARINE DR,Marpole,499915,5147010
Vehicle Collision or Pedestrian Struck (with Fatality),2009,2,9,15,31,11XX BLOCK DAVIE ST,West End,497630,5339117
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,4,15,31,8XX BLOCK HORNBY ST,Central Business District,492102,5444701
Vehicle Collision or Pedestrian Struck (with Fatality),2012,6,11,15,30,28XX BLOCK W BROADWAY AVE,Kitsilano,503284,5238460
Mischief,2008,5,12,15,30,19XX W 60TH AVE,Kerrisdale,494907,5182667
Break and Enter Commercial,2008,4,26,15,30,20XX W 10TH AVE,Kitsilano,503699,5096847
Mischief,2017,7,6,15,30,19XX W 1ST AVE,Kitsilano,491678,5391135
Mischief,2012,9,16,15,30,19XX W 1ST AVE,Kitsilano,510653,5034394
Mischief,2014,1,15,15,30,19XX W 10TH AVE,Kitsilano,503102,5068639
Mischief,2016,3,7,15,30,19XX W 4TH AVE,Kitsilano,507467,5125750
Break and Enter Residential/Other,2003,4,21,15,30,11XX DENMAN ST,West End,506743,5316622
Break and Enter Residential/Other,2004,4,14,15,30,11XX BEACH AVE,West End,501671,5295108
Break and Enter Commercial,2004,9,24,15,30,10XX BEACH AVE,Central Business District,501862,5062775
Break and Enter Residential/Other,2018,3,23,15,30,11XX BURNABY ST,West End,496338,5326901
Break and Enter Residential/Other,2015,1,17,15,30,11XX BALFOUR AVE,Shaughnessy,492246,5222730
Break and Enter Residential/Other,2007,2,16,15,30,11XX BARCLAY ST,West End,502425,5120573
Other Theft,2003,10,27,15,30,12XX GRANVILLE ST,Central Business District,508696,5155775
Break and Enter Residential/Other,2011,4,28,15,30,11XX BARCLAY ST,West End,502123,5279142
Break and Enter Residential/Other,2003,1,20,15,30,11XX BARCLAY ST,West End,490676,5028963
Other Theft,2005,11,2,15,30,12XX ROBSON ST,West End,490568,5239699
Other Theft,2005,12,10,15,30,12XX ROBSON ST,West End,508403,5351704
Mischief,2010,12,19,15,30,10XX BURRARD ST,West End,498386,5155319
Mischief,2018,6,29,15,30,10XX ALBERNI ST,West End,490806,5171411
Mischief,2004,11,30,15,30,10XX ALBERNI ST,West End,503532,5085246
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,3,15,30,8XX BLOCK HOWE ST,Central Business District,490231,5411040
Break and Enter Commercial,2019,8,23,15,30,67XX CAMBIE ST,Oakridge,509448,5390908
Theft of Bicycle,2014,8,31,15,30,E 8TH AVE / ONTARIO ST,Mount Pleasant,492251,5109491
Break and Enter Commercial,2006,11,12,15,30,6X E 2ND AVE,Mount Pleasant,503098,5111889
Vehicle Collision or Pedestrian Struck (with Fatality),2006,5,9,15,30,E 41ST AVE / MAIN ST,Sunset,504882,5153662
Theft of Bicycle,2007,4,15,15,30,E BROADWAY AVE / MAIN ST,Mount Pleasant,502499,5396414
Break and Enter Commercial,2004,5,17,15,30,2XX E BROADWAY AVE,Mount Pleasant,495684,5354596
Theft of Bicycle,2015,7,22,15,30,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,504047,5078161
Theft of Bicycle,2015,8,3,15,30,E CORDOVA ST / GORE AVE,Strathcona,492265,5183335
Theft of Vehicle,2019,11,14,15,30,E 11TH AVE / FRASER ST,Mount Pleasant,496158,5340461
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,4,15,30,8XX BLOCK POWELL ST,Strathcona,495323,5210565
Break and Enter Residential/Other,2004,2,2,15,30,11XX E KENT N AVE,Sunset,499339,5023501
Break and Enter Residential/Other,2016,6,26,15,30,11XX E 41ST AVE,Sunset,496993,5439307
Break and Enter Residential/Other,2006,10,22,15,30,11XX E PENDER ST,Strathcona,490763,5382417
Break and Enter Residential/Other,2007,9,16,15,30,11XX E PENDER ST,Strathcona,492257,5449474
Break and Enter Commercial,2017,9,28,15,30,14XX E 3RD AVE,Grandview-Woodland,507288,5188289
Other Theft,2003,7,5,15,30,14XX E HASTINGS ST,Grandview-Woodland,504973,5101455
Theft of Vehicle,2010,2,25,15,30,E 1ST AVE / WOODLAND DR,Grandview-Woodland,501586,5457939
Break and Enter Commercial,2007,10,10,15,30,14XX COMMERCIAL DR,Grandview-Woodland,491488,5408283
Vehicle Collision or Pedestrian Struck (with Injury),2006,2,12,15,30,9XX COMMERCIAL DR,Grandview-Woodland,495822,5289032
Theft from Vehicle,2011,12,3,15,30,13XX SALSBURY DR,Grandview-Woodland,498606,5333823
Theft of Bicycle,2018,9,18,15,30,E 54TH AVE / VICTORIA DR,Victoria-Fraserview,507749,5223834
Theft of Bicycle,2017,8,13,15,30,E PENDER ST / TEMPLETON DR,Grandview-Woodland,494481,5149618
Theft of Bicycle,2014,11,8,15,30,E 53RD AVE / NANAIMO ST,Victoria-Fraserview,505496,5314337
Theft of Vehicle,2009,1,8,15,30,E 24TH AVE / NANAIMO ST,Kensington-Cedar Cottage,493353,5130522
Theft of Bicycle,2006,1,30,15,30,E 49TH AVE / KILLARNEY ST,Killarney,507471,5113678
Mischief,2015,7,21,15,29,19XX W 4TH AVE,Kitsilano,506485,5025277
Other Theft,2015,1,20,15,29,14XX E 41ST AVE,Kensington-Cedar Cottage,506415,5050010
Break and Enter Residential/Other,2016,11,6,15,28,11XX CONNAUGHT DR,Shaughnessy,491439,5300454
Mischief,2016,5,9,15,28,10XX BURRARD ST,West End,490216,5449555
Vehicle Collision or Pedestrian Struck (with Fatality),2017,11,1,15,28,COLUMBIA ST / E PENDER ST,Central Business District,508162,5176831
Break and Enter Residential/Other,2007,7,29,15,28,11XX E 12TH AVE,Mount Pleasant,495277,5192437
Vehicle Collision or Pedestrian Struck (with Fatality),2008,12,16,15,27,4XX BLOCK KINGSWAY AVE,Mount Pleasant,494158,5048728
Vehicle Collision or Pedestrian Struck (with Injury),2007,11,16,15,27,ADANAC ST / NANAIMO ST,Grandview-Woodland,492596,5126322
Other Theft,2016,9,2,15,26,12XX ROBSON ST,West End,502375,5395403
Other Theft,2013,3,1,15,26,12XX GRANVILLE ST,Central Business District,501196,5449557
Mischief,2004,11,30,15,26,10XX BARCLAY ST,West End,508398,5424754
Other Theft,2006,10,29,15,26,12XX RICHARDS ST,Central Business District,498420,5329530
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,21,15,26,8XX BLOCK W 27TH AVE,South Cambie,495277,5404556
Other Theft,2003,10,13,15,25,13XX W BROADWAY AVE,Fairview,505841,5376616
Other Theft,2007,10,29,15,25,13XX ROBSON ST,West End,506707,5430116
Other Theft,2005,3,16,15,25,12XX ROBSON ST,West End,500708,5063043
Break and Enter Residential/Other,2006,7,19,15,25,11XX BARCLAY ST,West End,497705,5264342
Other Theft,2014,10,9,15,25,12XX SEYMOUR ST,Central Business District,509691,5196545
Other Theft,2003,4,14,15,25,12XX RICHARDS ST,Central Business District,490631,5387354
Theft of Vehicle,2012,10,21,15,25,E 16TH AVE / KASLO ST,Renfrew-Collingwood,506230,5213037
Other Theft,2017,1,31,15,24,13XX W BROADWAY AVE,Fairview,491506,5131294
Other Theft,2019,9,11,15,24,12XX SEYMOUR ST,Central Business District,505362,5122406
Vehicle Collision or Pedestrian Struck (with Injury),2014,12,3,15,24,ADANAC ST / COMMERCIAL DR,Grandview-Woodland,506809,5268353
Vehicle Collision or Pedestrian Struck (with Injury),2010,12,9,15,23,ALBERNI ST / JERVIS ST,West End,490395,5238402
Other Theft,2017,6,14,15,23,12XX SEYMOUR ST,Central Business District,508377,5453670
Theft of Bicycle,2019,8,6,15,23,E GEORGIA ST / MAIN ST,Strathcona,495798,5405984
Vehicle Collision or Pedestrian Struck (with Injury),2010,7,6,15,22,ALBERNI ST / BUTE ST,West End,497948,5106023
Other Theft,2016,1,31,15,22,12XX RICHARDS ST,Central Business District,496686,5326958
Other Theft,2012,6,30,15,22,14XX COMMERCIAL DR,Grandview-Woodland,498040,5306373
Vehicle Collision or Pedestrian Struck (with Injury),2009,6,28,15,21,ALBERNI ST / GILFORD ST,West End,491150,5131174
Other Theft,2019,3,2,15,21,12XX RICHARDS ST,Central Business District,501094,5112038
Other Theft,2017,9,10,15,21,13XX E HASTINGS ST,Grandview-Woodland,507070,5219351
Other Theft,2014,9,3,15,21,14XX E HASTINGS ST,Grandview-Woodland,510293,5450312
Other Theft,2019,5,2,15,20,14XX CARTWRIGHT ST,Fairview,495912,5396627
Vehicle Collision or Pedestrian Struck (with Injury),2019,8,10,15,20,ALBERNI ST / BIDWELL ST,West End,498621,5313158
Vehicle Collision or Pedestrian Struck (with Fatality),2010,7,5,15,20,6XX E KING EDWARD AVE,Riley Park,506390,5315415
Other Theft,2004,7,3,15,20,13XX KINGSWAY AVE,Kensington-Cedar Cottage,498342,5236732
Theft of Bicycle,2019,4,10,15,20,E HASTINGS ST / SLOCAN ST,Hastings-Sunrise,500417,5358106
Other Theft,2016,9,7,15,19,12XX GRANVILLE ST,Central Business District,510450,5352480
Other Theft,2006,5,29,15,19,12XX ROBSON ST,West End,505127,5210360
Mischief,2016,8,25,15,19,10XX BURRARD ST,West End,499743,5268282
Other Theft,2009,11,28,15,19,12XX SEYMOUR ST,Central Business District,499483,5338331
Other Theft,2006,9,13,15,19,12XX RICHARDS ST,Central Business District,499626,5280357
Other Theft,2015,8,22,15,19,12XX RICHARDS ST,Central Business District,498074,5153314
Other Theft,2010,3,9,15,19,12XX W PENDER ST,Central Business District,503153,5042970
Vehicle Collision or Pedestrian Struck (with Fatality),2011,1,21,15,19,MAIN ST / KEEFER ST,Strathcona,506056,5193618
Break and Enter Residential/Other,2019,12,28,15,19,11XX E 19TH AVE,Kensington-Cedar Cottage,499287,5017416
Other Theft,2017,8,14,15,19,13XX E HASTINGS ST,Grandview-Woodland,499878,5328387
Break and Enter Commercial,2018,8,3,15,18,66XX GRANVILLE ST,Kerrisdale,494137,5407826
Other Theft,2018,5,4,15,18,12XX W BROADWAY AVE,Fairview,497329,5092171
Other Theft,2019,1,14,15,18,12XX SEYMOUR ST,Central Business District,509121,5420616
Other Theft,2019,6,11,15,18,12XX RICHARDS ST,Central Business District,504333,5328490
Break and Enter Commercial,2012,1,1,15,18,66XX MAIN ST,Sunset,505383,5299951
Other Theft,2006,2,23,15,17,13XX W BROADWAY AVE,Fairview,500427,5130563
Theft from Vehicle,2004,4,23,15,16,13XX ROBSON ST,West End,501657,5393447
Other Theft,2008,3,21,15,16,12XX SEYMOUR ST,Central Business District,497505,5285942
Other Theft,2003,2,8,15,16,12XX RICHARDS ST,Central Business District,504682,5277434
Other Theft,2009,5,10,15,16,12XX RICHARDS ST,Central Business District,495843,5274496
Theft of Bicycle,2007,10,22,15,16,E BROADWAY AVE / FRASER ST,Mount Pleasant,504366,5343725
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,31,15,15,23XX W 4TH AVE,Kitsilano,504899,5236619
Theft of Bicycle,2007,8,3,15,15,EAST BLVD / W 42ND AVE,Kerrisdale,504529,5225314
Break and Enter Residential/Other,2015,10,27,15,15,11XX BURNABY ST,West End,509241,5401183
Theft from Vehicle,2010,8,28,15,15,13XX ROBSON ST,West End,508194,5451478
Other Theft,2007,7,8,15,15,13XX RICHARDS ST,Central Business District,509003,5017849
Other Theft,2012,4,3,15,15,12XX RICHARDS ST,Central Business District,493038,5048327
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,26,15,15,9XX BLOCK CANADA PL,Central Business District,510810,5028128
Other Theft,2003,5,2,15,15,12XX KINGSWAY AVE,Kensington-Cedar Cottage,495334,5318948
Other Theft,2003,3,29,15,15,14XX COMMERCIAL DR,Grandview-Woodland,497328,5148928
Other Theft,2017,3,29,15,15,13XX COMMERCIAL DR,Grandview-Woodland,502207,5223648
Other Theft,2009,11,30,15,14,12XX SEYMOUR ST,Central Business District,501207,5180245
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,3,15,14,9XX BLOCK HOWE ST,Central Business District,503543,5374287
Break and Enter Residential/Other,2008,3,9,15,13,11XX BROUGHTON ST,West End,497965,5160533
Other Theft,2018,6,16,15,13,12XX W BROADWAY AVE,Fairview,507364,5108791
Other Theft,2009,5,5,15,13,12XX ROBSON ST,West End,496758,5307584
Break and Enter Commercial,2016,8,10,15,13,10XX BARCLAY ST,West End,507437,5412387
Other Theft,2014,7,31,15,13,13XX COMMERCIAL DR,Grandview-Woodland,505330,5082792
Other Theft,2005,10,11,15,12,12XX ROBSON ST,West End,496878,5222088
Vehicle Collision or Pedestrian Struck (with Fatality),2006,12,5,15,12,E BROADWAY AVE / CLARK DR,Mount Pleasant,494948,5157865
Vehicle Collision or Pedestrian Struck (with Injury),2019,7,18,15,11,ADERA ST / W 64TH AVE,Marpole,500652,5182675
Other Theft,2007,10,27,15,11,13XX W BROADWAY AVE,Fairview,490930,5417506
Other Theft,2018,7,10,15,11,12XX W BROADWAY AVE,Fairview,509258,5023206
Other Theft,2017,10,21,15,11,12XX GRANVILLE ST,Central Business District,490165,5357986
Other Theft,2006,2,21,15,11,12XX RICHARDS ST,Central Business District,510884,5243823
Other Theft,2017,8,22,15,10,12XX SEYMOUR ST,Central Business District,493106,5359043
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,26,15,10,8XX DUNSMUIR ST,Central Business District,498190,5234611
Theft of Bicycle,2017,7,5,15,10,E GEORGIA ST / MAIN ST,Strathcona,497490,5143666
Other Theft,2017,12,15,15,9,13XX W BROADWAY AVE,Fairview,496893,5214281
Other Theft,2014,2,10,15,9,12XX ROBSON ST,West End,494080,5431135
Other Theft,2014,7,22,15,9,12XX GRANVILLE ST,Central Business District,499326,5092354
Break and Enter Commercial,2019,4,7,15,8,10XX BEACH AVE,Central Business District,510137,5418520
Other Theft,2003,8,1,15,8,12XX RICHARDS ST,Central Business District,490621,5221659
Mischief,2009,2,23,15,7,10XX BEACH AVE,West End,510260,5443293
Other Theft,2018,7,7,15,7,12XX W BROADWAY AVE,Fairview,504025,5143351
Theft from Vehicle,2004,11,9,15,7,13XX ROBSON ST,West End,499766,5052504
Vehicle Collision or Pedestrian Struck (with Injury),2011,10,25,15,6,ALBERNI ST / CARDERO ST,West End,508256,5051613
Other Theft,2011,9,27,15,6,14XX COMMERCIAL DR,Grandview-Woodland,509499,5321356
Vehicle Collision or Pedestrian Struck (with Fatality),2007,10,8,15,5,W 4TH AVE / TRAFALGAR ST,Kitsilano,498187,5196191
Other Theft,2003,7,7,15,5,12XX GRANVILLE ST,Central Business District,504465,5191517
Theft of Bicycle,2011,10,23,15,5,E HASTINGS ST / MAIN ST,Strathcona,503490,5201320
Break and Enter Residential/Other,2007,3,7,15,5,11XX E GEORGIA ST,Strathcona,493134,5310544
Other Theft,2016,2,23,15,5,12XX E HASTINGS ST,Strathcona,495118,5009445
Other Theft,2008,3,22,15,4,13XX ROBSON ST,West End,501921,5425606
Vehicle Collision or Pedestrian Struck (with Injury),2007,12,27,15,4,9XX BLOCK W 41ST AVE,Oakridge,509505,5180955
Vehicle Collision or Pedestrian Struck (with Injury),2005,10,1,15,4,8XX GRANVILLE ST,Central Business District,497258,5313005
Other Theft,2005,5,7,15,4,14XX E BROADWAY AVE,Kensington-Cedar Cottage,499432,5228587
Vehicle Collision or Pedestrian Struck (with Fatality),2014,12,30,15,3,OAK ST / W 15TH AVE,Fairview,506682,5318668
Other Theft,2007,11,2,15,3,12XX RICHARDS ST,Central Business District,502345,5295305
Theft of Bicycle,2014,8,29,15,3,E BROADWAY AVE / FRASER ST,Mount Pleasant,496626,5034091
Break and Enter Commercial,2013,12,15,15,3,20XX E 12TH AVE,Kensington-Cedar Cottage,496749,5050644
Vehicle Collision or Pedestrian Struck (with Fatality),2012,11,10,15,3,RENFREW ST / E GEORGIA ST,Hastings-Sunrise,494164,5427616
Break and Enter Commercial,2011,9,18,15,2,14XX COMOX ST,West End,494582,5012557
Other Theft,2016,10,7,15,2,12XX PACIFIC BLVD,Central Business District,494380,5288519
Mischief,2014,11,20,15,1,10XX BARCLAY ST,West End,509563,5110644
Vehicle Collision or Pedestrian Struck (with Fatality),2012,6,26,15,1,X BLOCK E HASTINGS ST,Central Business District,494848,5230416
Mischief,2003,6,15,15,0,19XX TRUTCH ST,Kitsilano,510371,5056216
Break and Enter Commercial,2009,11,8,15,0,20XX W 41ST AVE,Shaughnessy,510879,5420671
Break and Enter Commercial,2013,12,31,15,0,20XX W 11TH AVE,Kitsilano,505619,5148521
Mischief,2006,2,19,15,0,19XX W 43RD AVE,Kerrisdale,495336,5077508
Mischief,2013,5,24,15,0,19XX W 10TH AVE,Kitsilano,503682,5275809
Mischief,2004,11,3,15,0,19XX W 4TH AVE,Kitsilano,492470,5186814
Mischief,2010,7,9,15,0,19XX W 3RD AVE,Kitsilano,494990,5232859
Break and Enter Residential/Other,2007,7,14,15,0,11XX CYPRESS ST,Kitsilano,495128,5215054
Break and Enter Commercial,2009,5,9,15,0,17XX W 8TH AVE,Fairview,495818,5247320
Break and Enter Commercial,2018,11,6,15,0,20XX PENDRELL ST,West End,495809,5100019
Break and Enter Commercial,2010,8,15,15,0,20XX NELSON ST,West End,493493,5318830
Theft from Vehicle,2010,12,8,15,0,13XX W 46TH AVE,Oakridge,490963,5060057
Other Theft,2015,6,29,15,0,13XX W 6TH AVE,Fairview,490413,5132122
Break and Enter Residential/Other,2012,8,1,15,0,11XX BEACH AVE,West End,490664,5178086
Theft from Vehicle,2016,8,18,15,0,13XX W 15TH AVE,Fairview,507173,5019685
Theft from Vehicle,2017,6,15,15,0,13XX W 12TH AVE,Fairview,506234,5148473
Theft from Vehicle,2006,4,29,15,0,13XX W 13TH AVE,Fairview,503934,5264922
Theft from Vehicle,2011,3,5,15,0,13XX W 10TH AVE,Fairview,508431,5039213
Theft from Vehicle,2007,1,13,15,0,13XX W 15TH AVE,Fairview,499134,5320094
Mischief,2016,12,6,15,0,10XX BEACH AVE,West End,494998,5127297
Theft from Vehicle,2008,12,30,15,0,13XX W 12TH AVE,Fairview,497603,5102273
Theft from Vehicle,2011,12,19,15,0,13XX W 14TH AVE,Fairview,500312,5041817
Mischief,2008,9,27,15,0,10XX BEACH AVE,Central Business District,504582,5178857
Mischief,2017,5,12,15,0,10XX BEACH AVE,Central Business District,501363,5017135
Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,510139,5242896
Break and Enter Residential/Other,2005,10,8,15,0,11XX BURNABY ST,West End,494626,5088422
Break and Enter Residential/Other,2018,6,30,15,0,11XX BURNABY ST,West End,501309,5240059
Theft from Vehicle,2003,11,2,15,0,13XX THURLOW ST,West End,498933,5411444
Theft from Vehicle,2004,7,13,15,0,13XX THURLOW ST,West End,501174,5149941
Break and Enter Commercial,2012,5,6,15,0,10XX BURNABY ST,West End,508770,5082937
Break and Enter Residential/Other,2004,7,28,15,0,11XX BALFOUR AVE,Shaughnessy,492161,5357948
Break and Enter Commercial,2016,6,10,15,0,10XX BURNABY ST,West End,502183,5307216
Break and Enter Commercial,2016,6,17,15,0,10XX BURNABY ST,West End,509800,5204572
Mischief,2014,9,1,15,0,10XX BURNABY ST,West End,490805,5350398
Theft from Vehicle,2005,2,10,15,0,13XX ROBSON ST,West End,506204,5029325
Theft from Vehicle,2005,6,13,15,0,13XX ROBSON ST,West End,509579,5130883
Theft from Vehicle,2005,11,8,15,0,13XX ROBSON ST,West End,503862,5102716
Theft from Vehicle,2008,1,9,15,0,13XX ROBSON ST,West End,505145,5312673
Theft from Vehicle,2009,1,12,15,0,13XX ROBSON ST,West End,492119,5204336
Theft from Vehicle,2019,7,18,15,0,13XX ROBSON ST,West End,492034,5406958
Break and Enter Residential/Other,2006,4,25,15,0,11XX BURRARD ST,Central Business District,494220,5269357
Other Theft,2004,2,13,15,0,12XX GRANVILLE ST,Central Business District,507593,5434217
Mischief,2008,2,3,15,0,10XX BURRARD ST,West End,502055,5447948
Other Theft,2008,7,11,15,0,12XX SEYMOUR ST,Central Business District,508028,5392957
Other Theft,2015,8,14,15,0,12XX RICHARDS ST,Central Business District,493716,5032453
Break and Enter Commercial,2006,4,28,15,0,10XX ALBERNI ST,West End,500091,5332095
Theft of Vehicle,2007,2,13,15,0,DUNSMUIR ST / SEYMOUR ST,Central Business District,506930,5170147
Theft of Bicycle,2011,9,16,15,0,E 56TH AVE / MAIN ST,Sunset,510309,5004675
Theft of Vehicle,2007,11,12,15,0,E 11TH AVE / MAIN ST,Mount Pleasant,508847,5130366
Theft of Vehicle,2005,12,21,15,0,E 13TH AVE / MAIN ST,Mount Pleasant,507124,5339758
Theft of Bicycle,2015,6,21,15,0,E 8TH AVE / MAIN ST,Mount Pleasant,504076,5071777
Theft of Vehicle,2019,5,17,15,0,E 18TH AVE / MAIN ST,Riley Park,502874,5403348
Break and Enter Commercial,2006,12,22,15,0,2XX E BROADWAY AVE,Mount Pleasant,505638,5429004
Theft of Bicycle,2014,10,17,15,0,E PENDER ST / MAIN ST,Strathcona,491611,5010686
Theft of Bicycle,2016,8,10,15,0,E PENDER ST / MAIN ST,Strathcona,491507,5064076
Theft of Bicycle,2019,9,8,15,0,E HASTINGS ST / MAIN ST,Strathcona,507412,5197874
Vehicle Collision or Pedestrian Struck (with Injury),2004,5,30,15,0,8XX BLOCK MAIN ST,Strathcona,496948,5098558
Break and Enter Commercial,2012,5,18,15,0,2XX E GEORGIA ST,Strathcona,504636,5077473
Theft of Bicycle,2009,4,10,15,0,E 8TH AVE / SCOTIA ST,Mount Pleasant,497314,5277131
Theft of Vehicle,2007,4,30,15,0,E 11TH AVE / KINGSWAY AVE,Mount Pleasant,504155,5070111
Theft of Bicycle,2014,7,16,15,0,E CORDOVA ST / GORE AVE,Strathcona,498369,5383559
Theft of Vehicle,2010,1,9,15,0,E 10TH AVE / PRINCE EDWARD ST,Mount Pleasant,490422,5072539
Theft of Vehicle,2004,2,4,15,0,E 19TH AVE / FRASER ST,Kensington-Cedar Cottage,490046,5198281
Theft of Vehicle,2018,9,20,15,0,E 18TH AVE / FRASER ST,Riley Park,507086,5075784
Theft of Bicycle,2010,5,8,15,0,E 45TH AVE / PRINCE ALBERT ST,Sunset,506987,5324576
Theft of Vehicle,2005,8,26,15,0,E 13TH AVE / ST CATHERINES ST,Mount Pleasant,507985,5288587
Break and Enter Residential/Other,2007,4,14,15,0,11XX E 26TH AVE,Kensington-Cedar Cottage,497125,5393701
Break and Enter Residential/Other,2007,8,8,15,0,11XX E 33RD AVE,Kensington-Cedar Cottage,501350,5370388
Break and Enter Residential/Other,2011,9,3,15,0,11XX E 10TH AVE,Mount Pleasant,503073,5187731
Break and Enter Residential/Other,2004,2,22,15,0,11XX E BROADWAY AVE,Mount Pleasant,499812,5290025
Break and Enter Residential/Other,2013,9,9,15,0,11XX E PENDER ST,Strathcona,491444,5166504
Break and Enter Residential/Other,2005,12,9,15,0,11XX E PENDER ST,Strathcona,504883,5041803
Break and Enter Residential/Other,2010,9,5,15,0,11XX E HASTINGS ST,Strathcona,498712,5429525
Theft from Vehicle,2003,1,15,15,0,13XX VENABLES ST,Grandview-Woodland,503921,5359653
Theft of Vehicle,2016,3,12,15,0,E 15TH AVE / KNIGHT ST,Mount Pleasant,496256,5166691
Vehicle Collision or Pedestrian Struck (with Fatality),2005,2,16,15,0,13XX BLOCK FRANKLIN ST,Grandview-Woodland,494994,5116262
Break and Enter Commercial,2004,5,21,15,0,14XX FRANCES ST,Grandview-Woodland,500127,5182135
Other Theft,2012,3,17,15,0,14XX COMMERCIAL DR,Grandview-Woodland,502183,5338289
Other Theft,2008,10,4,15,0,13XX COMMERCIAL DR,Grandview-Woodland,496421,5143668
Break and Enter Commercial,2008,2,24,15,0,20XX PANDORA ST,Grandview-Woodland,505898,5256576
Theft of Bicycle,2016,2,23,15,0,E HASTINGS ST / GARDEN DR,Grandview-Woodland,504644,5175129
Theft of Vehicle,2006,4,14,15,0,E 11TH AVE / NANAIMO ST,Kensington-Cedar Cottage,508756,5039945
Theft of Bicycle,2010,8,3,15,0,E HASTINGS ST / NANAIMO ST,Grandview-Woodland,500301,5332775
Theft of Vehicle,2006,4,19,15,0,E 23RD AVE / KASLO ST,Renfrew-Collingwood,495574,5443241
Theft of Vehicle,2006,10,9,15,0,E 24TH AVE / RUPERT ST,Renfrew-Collingwood,492871,5153414
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,21,15,0,8XX W 70TH AV / 8599 LAUREL ST,,502195,5211728
Other Theft,2007,8,31,16,59,12XX ROBSON ST,West End,504167,5213306
Other Theft,2014,6,12,16,59,12XX SEYMOUR ST,Central Business District,492019,5102807
Other Theft,2016,2,23,16,59,12XX SEYMOUR ST,Central Business District,505820,5303887
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,30,16,59,8XX BLOCK THURLOW ST,West End,500715,5405133
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,25,16,59,8XX BLOCK RICHARDS ST,Central Business District,509169,5162698
Other Theft,2010,2,19,16,59,14XX E BROADWAY AVE,Kensington-Cedar Cottage,510707,5364568
Other Theft,2013,1,25,16,58,12XX SEYMOUR ST,Central Business District,499642,5309872
Other Theft,2010,5,13,16,58,12XX RICHARDS ST,Central Business District,508722,5310069
Other Theft,2009,4,18,16,58,12XX W PENDER ST,Central Business District,510362,5284708
Other Theft,2015,6,2,16,57,12XX GRANVILLE ST,Central Business District,498193,5208176
Other Theft,2012,10,18,16,57,12XX GRANVILLE ST,Central Business District,500646,5426674
Other Theft,2010,7,12,16,57,12XX SEYMOUR ST,Central Business District,502370,5006918
Other Theft,2014,6,13,16,57,12XX SEYMOUR ST,Central Business District,501851,5437885
Vehicle Collision or Pedestrian Struck (with Injury),2018,3,10,16,57,ADANAC ST / CLARK DR,Strathcona,504930,5080625
Other Theft,2006,8,18,16,56,12XX ROBSON ST,West End,504705,5395883
Other Theft,2012,11,22,16,56,12XX GRANVILLE ST,Central Business District,511136,5136053
Other Theft,2010,1,27,16,56,12XX W PENDER ST,Central Business District,493018,5126306
Break and Enter Residential/Other,2008,7,25,16,56,11XX E HASTINGS ST,Strathcona,495210,5450357
Other Theft,2016,7,17,16,55,12XX GRANVILLE ST,Central Business District,509425,5248302
Other Theft,2009,3,24,16,55,12XX W PENDER ST,Central Business District,490846,5018378
Theft of Bicycle,2015,8,26,16,55,E 1ST AVE / ONTARIO ST,Mount Pleasant,506029,5433952
Other Theft,2012,4,2,16,54,12XX RICHARDS ST,Central Business District,491411,5276766
Other Theft,2013,8,31,16,54,12XX W PENDER ST,Central Business District,491143,5292241
Vehicle Collision or Pedestrian Struck (with Fatality),2006,1,7,16,54,NANAIMO ST / PARKER ST,Grandview-Woodland,505675,5096364
Vehicle Collision or Pedestrian Struck (with Fatality),2016,5,17,16,53,85XX STANLEY PARK DR,Stanley Park,510165,5110223
Vehicle Collision or Pedestrian Struck (with Injury),2019,12,14,16,53,8XX W GEORGIA ST,Central Business District,505658,5435233
Theft of Bicycle,2009,6,28,16,53,E GEORGIA ST / GORE AVE,Strathcona,496197,5429413
Other Theft,2005,7,19,16,53,14XX E HASTINGS ST,Grandview-Woodland,505659,5155008
Break and Enter Commercial,2017,7,3,16,52,10XX BURRARD ST,West End,508513,5116780
